City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Malatya,TR,2021-06-15 17:54:08,38.5,38.0,69.85,25,0,9.22
127,Paamiut,GL,2021-06-15 17:54:08,61.994,-49.6678,37.45,85,95,12.77
128,Lerwick,GB,2021-06-15 17:54:09,60.1545,-1.1494,51.8,85,100,22.35
129,Port Alfred,ZA,2021-06-15 17:54:09,-33.5906,26.891,65.8,70,98,8.48
130,Masvingo,ZW,2021-06-15 17:54:09,-20.0637,30.8277,55.8,43,0,5.57
131,Trudovoye,RU,2021-06-15 17:54:09,43.3058,132.0817,53.33,94,90,4.47
132,Leningradskiy,RU,2021-06-15 17:54:10,69.3833,178.4167,37.8,91,68,3.2
133,Upernavik,GL,2021-06-15 17:54:10,72.7868,-56.1549,33.53,90,39,4.63
134,Cooma,AU,2021-06-15 17:54:11,-36.2333,149.1333,31.77,100,4,9.22
135,Bud,US,2021-06-15 17:54:11,39.447,-86.1758,80.67,42,0,11.74
136,Khorixas,NA,2021-06-15 17:54:11,-20.3667,14.9667,63.59,24,67,3.09
137,Halifax,CA,2021-06-15 17:51:55,44.6453,-63.5724,62.49,91,90,5.01
138,Mehamn,NO,2021-06-15 17:54:12,71.0357,27.8492,44.78,80,100,21.52
139,Katangli,RU,2021-06-15 17:54:12,51.7102,143.2326,44.38,94,86,6.91
140,Comodoro Rivadavia,AR,2021-06-15 17:54:13,-45.8667,-67.5,44.46,57,0,1.14
141,Unguia,CO,2021-06-15 17:54:13,8.0434,-77.0945,86.18,70,95,2.8
142,Druzhba,UA,2021-06-15 17:54:13,52.0428,33.9453,65.1,89,64,6.8
143,Mount Gambier,AU,2021-06-15 17:54:14,-37.8333,140.7667,51.71,100,100,12.66
144,Saint-Augustin,CA,2021-06-15 17:54:14,51.226,-58.6502,53.13,75,99,12.35
145,Kodiak,US,2021-06-15 17:54:15,57.79,-152.4072,50.34,73,5,6.96
146,Raga,SS,2021-06-15 17:54:15,8.4596,25.678,74.01,81,59,5.37
147,Georgetown,MY,2021-06-15 17:51:56,5.4112,100.3354,78.89,89,20,0.0
148,Tymovskoye,RU,2021-06-15 17:54:15,50.8456,142.655,44.02,95,84,9.57
149,Dalbandin,PK,2021-06-15 17:54:16,28.8947,64.4101,90.19,8,0,25.9
150,Itarema,BR,2021-06-15 17:54:16,-2.9248,-39.9167,84.27,66,77,14.47
151,Muros,ES,2021-06-15 17:54:16,42.7762,-9.0603,84.83,58,45,10.2
152,Singkang,MY,2021-06-15 17:54:17,2.1006,102.7994,75.09,95,9,3.22
153,San Cristobal,VE,2021-06-15 17:54:17,7.7669,-72.225,73.58,69,52,6.11
154,Namtsy,RU,2021-06-15 17:54:17,62.7161,129.6658,50.11,77,5,4.03
155,Goundam,ML,2021-06-15 17:54:18,16.4145,-3.6708,106.68,14,14,2.84
156,Hattiesburg,US,2021-06-15 17:54:18,31.3271,-89.2903,93.52,59,1,4.61
157,Madimba,TZ,2021-06-15 17:54:18,-10.4,40.3333,72.72,78,20,10.36
158,Sao Joao Da Barra,BR,2021-06-15 17:54:19,-21.6403,-41.0511,77.09,67,35,5.93
159,Baruun-Urt,MN,2021-06-15 17:54:19,46.6806,113.2792,60.19,80,100,10.51
160,Egvekinot,RU,2021-06-15 17:54:19,66.3167,-179.1667,31.68,98,100,6.11
161,Camana,PE,2021-06-15 17:54:20,-16.6228,-72.7111,66.94,74,72,7.4
162,Nakamura,JP,2021-06-15 17:54:20,32.9833,132.9333,67.96,97,100,3.53
163,Galveston,US,2021-06-15 17:54:20,29.3669,-94.9669,97.03,67,42,1.01
164,Fallon,US,2021-06-15 17:54:20,39.4735,-118.7774,83.91,23,1,3.44
165,Zwiesel,DE,2021-06-15 17:54:21,49.0167,13.2333,75.02,54,89,1.86
166,Chardara,KZ,2021-06-15 17:54:21,41.2547,67.9692,77.27,24,0,12.46
167,Pechenga,RU,2021-06-15 17:54:21,69.5259,31.1703,45.46,80,100,27.0
168,Taikang,CN,2021-06-15 17:54:22,46.8333,124.4167,66.88,78,10,4.61
169,Severo-Kurilsk,RU,2021-06-15 17:54:22,50.6789,156.125,44.73,83,49,7.2
170,Tezu,IN,2021-06-15 17:54:22,27.9167,96.1667,77.32,97,54,3.6
171,Kenai,US,2021-06-15 17:54:23,60.5544,-151.2583,64.02,82,20,14.97
172,Kavaratti,IN,2021-06-15 17:54:23,10.5669,72.642,83.12,79,100,25.37
173,Cascais,PT,2021-06-15 17:54:23,38.6979,-9.4215,83.55,67,20,8.01
174,Staicele,LV,2021-06-15 17:54:24,57.8364,24.75,55.49,76,9,6.82
175,Moose Jaw,CA,2021-06-15 17:50:58,50.4001,-105.5344,82.65,40,75,27.63
176,Kaitangata,NZ,2021-06-15 17:54:24,-46.2817,169.8464,47.75,95,100,11.43
177,Padang,ID,2021-06-15 17:54:24,-0.9492,100.3543,75.25,88,88,3.02
178,Tarrafal,CV,2021-06-15 17:54:25,15.2833,-23.7667,81.39,84,87,12.5
179,Victoria,HK,2021-06-15 17:51:02,22.2855,114.1577,86.38,83,100,1.99
180,Taltal,CL,2021-06-15 17:54:25,-25.4,-70.4833,59.56,78,92,1.34
181,Vanimo,PG,2021-06-15 17:54:25,-2.6741,141.3028,77.59,89,99,4.45
182,Kupang,ID,2021-06-15 17:51:01,-10.1667,123.5833,74.48,88,39,7.63
183,Husavik,IS,2021-06-15 17:54:26,66.0449,-17.3389,42.71,63,85,16.96
184,Kralendijk,BQ,2021-06-15 17:54:26,12.15,-68.2667,87.78,62,75,17.27
185,Elizabeth City,US,2021-06-15 17:54:26,36.2946,-76.2511,86.02,67,90,1.01
186,Payakumbuh,ID,2021-06-15 17:54:27,-0.2202,100.6308,70.09,98,92,2.15
187,Myitkyina,MM,2021-06-15 17:54:27,25.3833,97.4,75.92,99,99,1.39
188,Mangan,IN,2021-06-15 17:54:27,27.5167,88.5333,75.88,87,79,2.66
189,Kamaishi,JP,2021-06-15 17:54:28,39.2667,141.8833,62.51,95,92,1.99
190,Tokur,RU,2021-06-15 17:54:28,53.1333,132.9,55.54,86,100,4.18
191,Velsk,RU,2021-06-15 17:54:28,61.0701,42.0983,63.95,65,38,6.02
192,Bangui,CF,2021-06-15 17:54:29,4.3612,18.555,87.98,66,46,0.0
193,Sampit,ID,2021-06-15 17:54:29,-2.5333,112.95,73.35,98,86,1.92
194,Houma,US,2021-06-15 17:52:17,29.5958,-90.7195,95.0,57,87,5.01
195,Maneadero,MX,2021-06-15 17:54:29,31.7167,-116.5667,86.18,52,100,8.1
196,Siyabuswa,ZA,2021-06-15 17:54:30,-25.1132,29.0445,60.48,27,25,6.29
197,Altamira,BR,2021-06-15 17:54:30,-3.2033,-52.2064,86.09,70,75,3.44
198,Manokwari,ID,2021-06-15 17:54:30,-0.8667,134.0833,75.94,83,100,4.25
199,Hobyo,SO,2021-06-15 17:54:30,5.3505,48.5268,78.19,82,100,26.24
200,Coquimbo,CL,2021-06-15 17:54:31,-29.9533,-71.3436,56.93,71,75,4.61
201,Northam,GB,2021-06-15 17:54:31,51.0333,-4.2167,71.67,61,92,4.63
202,Port-Cartier,CA,2021-06-15 17:54:31,50.0334,-66.8654,52.93,99,100,7.0
203,Touros,BR,2021-06-15 17:54:32,-5.1989,-35.4608,86.9,69,83,12.86
204,Hirara,JP,2021-06-15 17:54:32,24.8,125.2833,83.16,89,96,22.41
205,Ulagan,RU,2021-06-15 17:54:32,50.6321,87.9563,44.38,84,34,1.25
206,Abu Samrah,SY,2021-06-15 17:54:33,35.3029,37.1841,73.51,46,0,13.24
207,Huangchuan,CN,2021-06-15 17:54:33,32.1272,115.0394,78.75,92,82,5.08
208,Lorengau,PG,2021-06-15 17:54:33,-2.0226,147.2712,81.7,76,18,6.62
